,Year,Country,Area,Day Time,Fatal,Type
1112,2009,USA,California,Morning,N,Unprovoked
1113,2009,SOUTH AFRICA,Western Cape Province,Morning,N,Unprovoked
1114,2009,USA,Florida,Afternoon,N,Unprovoked
1115,2009,USA,Florida,,N,Provoked
1116,2009,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1117,2009,USA,California,,Unknown,
1118,2009,USA,Florida,Afternoon,Unknown,
1119,2009,VIETNAM,,,N,Provoked
1120,2009,EGYPT,St. Johns Reef,,N,Unprovoked
1121,2009,EGYPT,St. Johns Reef,,N,Unprovoked
1122,2009,EGYPT,St. Johns Reef,Morning,Y,Unprovoked
1123,2009,TAIWAN,Off Green Island,Evening,N,Provoked
1124,2009,USA,Florida,Evening,N,Provoked
1125,2009,USA,Florida,Morning,N,Unprovoked
1126,2009,USA,Florida,Morning,N,Unprovoked
1127,2009,USA,Florida,Morning,N,Unprovoked
1128,2009,GUAM,North Region,Afternoon,N,Provoked
1129,2009,BAHAMAS,Exuma Islands,,N,Provoked
1130,2009,USA,Florida,Afternoon,N,Unprovoked
1131,2009,USA,California,Morning,N,Unprovoked
1132,2009,USA,Florida,Afternoon,N,Unprovoked
1133,2009,PHILIPPINES,Batangas province,Night,N,Unprovoked
1134,2009,USA,Florida,Afternoon,N,Unprovoked
1135,2009,USA,Florida,Afternoon,N,Unprovoked
1136,2009,USA,Hawaii,,Unknown,
1137,2009,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1138,2009,SOUTH AFRICA,KwaZulu-Natal,Morning,Unknown,
1139,2009,USA,California,Morning,N,Unprovoked
1140,2009,USA,Florida,Afternoon,N,Unprovoked
1141,2009,SOUTH AFRICA,Eastern Cape Province,,N,Provoked
1142,2009,SOUTH AFRICA,Eastern Cape Province,Afternoon,Y,Unprovoked
1143,2009,AUSTRALIA,New South Wales,Evening,N,Unprovoked
1144,2009,AUSTRALIA,New South Wales,,N,Unprovoked
1145,2009,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1146,2009,USA,Florida,Afternoon,N,Unprovoked
1147,2009,MALAYSIA,Strait of Malacca,,N,Unprovoked
1148,2009,USA,Hawaii,Evening,N,Unprovoked
1149,2009,AUSTRALIA,Western Australia,,N,Provoked
1150,2009,NEW CALEDONIA,South Province,Morning,Y,Unprovoked
1151,2009,SOUTH AFRICA,Western Cape Province,Afternoon,N,Provoked
1152,2009,NEW ZEALAND,North Island,,N,
1153,2009,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1154,2009,AUSTRALIA,Queensland,Morning,N,Unprovoked
1155,2009,AUSTRALIA,New South Wales,Afternoon,N,Unprovoked
1156,2009,AUSTRALIA,New South Wales,Evening,N,Unprovoked
1157,2009,AUSTRALIA,New South Wales,,N,Unprovoked
1158,2009,USA,Puerto Rico,,Y,
1159,2009,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1160,2009,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1161,2009,AZORES,,,N,Provoked
1162,2009,BRAZIL,,,Unknown,
1163,2009,CUBA,Guantanamo Province,Morning,N,Unprovoked
1164,2009,NEW ZEALAND,North Island,Evening,N,
1165,2009,AUSTRALIA,New South Wales,Afternoon,N,Unprovoked
1166,2009,SOUTH AFRICA,Eastern Cape Province,Afternoon,Y,Unprovoked
1167,2009,BRAZIL,Maranh�o,,Unknown,
1168,2009,AUSTRALIA,Victoria,Morning,N,
1169,2009,NEW ZEALAND,South Island,,N,Unprovoked
1170,2009,SOUTH AFRICA,Western Cape Province,,Y,Unprovoked
1171,2009,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1172,2009,AUSTRALIA,Tasmania,Afternoon,N,Unprovoked
1173,2009,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1174,2009,NEW ZEALAND,North Island,,N,
1175,2009,ECUADOR,Galapagos Islands,,N,Unprovoked
1176,2009,NEW ZEALAND,North Island,Afternoon,N,Unprovoked
1177,2009,CUBA,Guantanamo Province,,N,Unprovoked
1178,2008,AUSTRALIA,Western Australia,Morning,Unknown,
1179,2008,AUSTRALIA,Tasmania,,N,
1180,2008,AUSTRALIA,New South Wales,,N,Unprovoked
1181,2008,AUSTRALIA,New South Wales,Morning,N,
1182,2008,AUSTRALIA,Western Australia,Morning,Y,Unprovoked
1183,2008,USA,California,Afternoon,N,
1184,2008,NEW ZEALAND,North Island,,N,Unprovoked
1185,2008,SOUTH AFRICA,Western Cape Province,Evening,N,Provoked
1186,2008,AUSTRALIA,New South Wales,Morning,N,
1187,2008,MOZAMBIQUE,Inhambane Province,,Y,Unprovoked
1188,2008,EGYPT,Red Sea,Morning,N,Unprovoked
1189,2008,PHILIPPINES,Batanes Provine,,N,
1190,2008,ECUADOR,Galapagos Islands,,N,Unprovoked
1191,2008,AUSTRALIA,South Australia,,N,
1192,2008,TAIWAN,,,Y,
1193,2008,PHILIPPINES,Luzon,,Y,Unprovoked
1194,2008,AUSTRALIA,New South Wales,Afternoon,N,Provoked
1195,2008,NEW CALEDONIA,,Morning,N,Unprovoked
1196,2008,AUSTRALIA,Northern Territory,,N,Provoked
1197,2008,AUSTRALIA,New South Wales,Afternoon,N,Unprovoked
1198,2008,USA,Florida,Afternoon,N,Unprovoked
1199,2008,CROATIA," Split-Dalmatia Count,",Afternoon,N,Unprovoked
1200,2008,USA,Florida,Morning,N,Unprovoked
1201,2008,USA,Florida,Morning,N,Unprovoked
1202,2008,AUSTRALIA,Northern Territory,Afternoon,N,Provoked
1203,2008,USA,Florida,Afternoon,N,Unprovoked
1204,2008,USA,Hawaii,Afternoon,N,Unprovoked
1205,2008,USA,California,Morning,N,Unprovoked
1206,2008,AUSTRALIA,New South Wales,Afternoon,N,Unprovoked
1207,2008,USA,Florida,Afternoon,N,Unprovoked
1208,2008,USA,Florida,Afternoon,N,Unprovoked
1209,2008,USA,Florida,Morning,N,Unprovoked
1210,2008,USA,Florida,Morning,N,Unprovoked
1211,2008,AUSTRALIA,New South Wales,,N,Unprovoked
1212,2008,USA,Hawaii,Evening,Unknown,
1213,2008,ENGLAND,North Devon,,N,Provoked
1214,2008,USA,Florida,Afternoon,N,Unprovoked
1215,2008,USA,Florida,Morning,N,Unprovoked
1216,2008,USA,Florida,Afternoon,N,Unprovoked
1217,2008,USA,North Carolina,Evening,Unknown,
1218,2008,USA,Florida,Afternoon,N,Unprovoked
1219,2008,USA,South Carolina,,Unknown,
1220,2008,USA,US Virgin Islands,Evening,N,Unprovoked
1221,2008,USA,Florida,Afternoon,N,Unprovoked
1222,2008,USA,Hawaii,Afternoon,N,Unprovoked
1223,2008,AUSTRALIA,Victoria,Morning,N,Unprovoked
1224,2008,SOUTH AFRICA,,,N,Unprovoked
1225,2008,PANAMA,San Carlos,Evening,N,Unprovoked
1226,2008,MEXICO,Cabo San Lucas,,N,Unprovoked
1227,2008,USA,Hawaii,Afternoon,N,Unprovoked
1228,2008,USA,Florida,Morning,N,Unprovoked
1229,2008,USA,Hawaii,Morning,N,Unprovoked
1230,2008,USA,North Carolina,,N,Unprovoked
1231,2008,USA,North Carolina,Afternoon,N,Unprovoked
1232,2008,USA,Florida,Afternoon,N,Provoked
1233,2008,USA,Florida,Afternoon,N,Unprovoked
1234,2008,EGYPT,,,N,Unprovoked
1235,2008,USA,North Carolina,,Unknown,
1236,2008,USA,South Carolina,Afternoon,N,Unprovoked
1237,2008,USA,North Carolina,Evening,N,Unprovoked
1238,2008,USA,South Carolina,Afternoon,N,Unprovoked
1239,2008,UNITED KINGDOM,Sussex,,N,
1240,2008,USA,Hawaii,Afternoon,Unknown,
1241,2008,BAHAMAS,Abaco Islands,Morning,N,Unprovoked
1242,2008,SOUTH AFRICA,Western Cape Province,Afternoon,N,Unprovoked
1243,2008,SOUTH AFRICA,Western Cape Province,,N,Unprovoked
1244,2008,USA,Florida,Afternoon,N,Unprovoked
1245,2008,USA,South Carolina,Morning,N,Unprovoked
1246,2008,BRAZIL,Bahia,Morning,N,Unprovoked
1247,2008,USA,California,Morning,N,
1248,2008,USA,Florida,Morning,N,Unprovoked
1249,2008,BRAZIL,Pernambuco,,N,Unprovoked
1250,2008,USA,Florida,,N,Unprovoked
1251,2008,SCOTLAND,Easter Ross,,N,
1252,2008,USA,South Carolina,Evening,N,Unprovoked
1253,2008,BRAZIL,Pernambuco,Afternoon,N,Unprovoked
1254,2008,USA,North Carolina,Afternoon,N,Unprovoked
1255,2008,BAHAMAS,Grand Bahama Island,,N,
1256,2008,MEXICO,Guerro,,N,Unprovoked
1257,2008,MEXICO,Guerro,,Y,Unprovoked
1258,2008,FIJI,Yasawa Islands,Night,Y,Unprovoked
1259,2008,AUSTRALIA,Western Australia,Morning,N,Unprovoked
1260,2008,NEW CALEDONIA,North Province,Afternoon,N,Unprovoked
1261,2008,USA,Florida,,N,Unprovoked
1262,2008,SOUTH AFRICA,,,N,Provoked
1263,2008,MEXICO,Guerro,Afternoon,Y,Unprovoked
1264,2008,USA,Florida,Morning,N,Unprovoked
1265,2008,USA,Florida,Morning,N,Unprovoked
1266,2008,NEW CALEDONIA,North Province,Morning,N,Unprovoked
1267,2008,USA,Florida,Morning,N,Provoked
1268,2008,USA,California,Morning,Y,Unprovoked
1269,2008,USA,Florida,Morning,N,Unprovoked
1270,2008,AUSTRALIA,New South Wales,,Unknown,Unprovoked
1271,2008,SOUTH AFRICA,KwaZulu-Natal,,Unknown,
1272,2008,MEXICO,Quintana Roo,Evening,Unknown,
1273,2008,AUSTRALIA,Queensland,Morning,Unknown,
1274,2008,USA,Florida,Afternoon,N,Unprovoked
1275,2008,FIJI,,,N,Unprovoked
1276,2008,USA,Florida,,N,Unprovoked
1277,2008,USA,Florida,,N,Unprovoked
1278,2008,AUSTRALIA,New South Wales,Morning,Y,Unprovoked
1279,2008,USA,Florida,Afternoon,N,Unprovoked
1280,2008,SOUTH AFRICA,KwaZulu-Natal,,N,Unprovoked
1281,2008,USA,Florida,Evening,N,Unprovoked
1282,2008,USA,Florida,,N,Unprovoked
1283,2008,USA,Florida,Morning,N,Unprovoked
1284,2008,USA,Florida,Afternoon,N,Unprovoked
1285,2008,USA,Florida,Afternoon,N,Unprovoked
1286,2008,USA,California,Morning,N,Unprovoked
1287,2008,BAHAMAS,Northern Bahamas,Morning,Y,Unprovoked
1288,2008,FRENCH POLYNESIA,Society Islands,,N,Unprovoked
1289,2008,USA,Florida,Afternoon,N,Unprovoked
1290,2008,AUSTRALIA,New South Wales,,N,Unprovoked
1291,2008,USA,Florida,,N,Unprovoked
1292,2008,JAPAN,Tokyo Bay,,Unknown,Provoked
1293,2008,SOUTH AFRICA,KwaZulu-Natal,,N,Unprovoked
1294,2008,AUSTRALIA,Queensland,Morning,N,Provoked
1295,2008,NEW ZEALAND,South Island,,Unknown,
1296,2008,NEW ZEALAND,North Island,Afternoon,N,
1297,2008,USA,Florida,,N,Unprovoked
1298,2008,USA,Florida,,N,Provoked
1299,2008,MEXICO,Baja California,,N,Unprovoked
1300,2007,ECUADOR,Galapagos Islands,,N,Unprovoked
1301,2007,BRITISH VIRGIN ISLANDS,Green Bay,,Unknown,
1302,2007,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1303,2007,AUSTRALIA,Queensland,,N,Unprovoked
1304,2007,AUSTRALIA,New South Wales,Evening,Unknown,
1305,2007,USA,Hawaii,,N,Unprovoked
1306,2007,NEW ZEALAND,South Island,,N,Unprovoked
1307,2007,BRAZIL,Pernambuco,,N,Unprovoked
1308,2007,AUSTRALIA,Western Australia,,N,Provoked
1309,2007,AUSTRALIA,New South Wales,Afternoon,N,Unprovoked
1310,2007,SOUTH AFRICA,Western Cape Province,Afternoon,N,Unprovoked
1311,2007,USA,Florida,Morning,N,Unprovoked
1312,2007,USA,Florida,Morning,N,Unprovoked
1313,2007,SOUTH AFRICA,Eastern Cape Province,Morning,N,Unprovoked
1314,2007,MEXICO,Baja California,,Unknown,
1315,2007,USA,Hawaii,Afternoon,N,Unprovoked
1316,2007,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1317,2007,AUSTRALIA,Queensland,Afternoon,N,Unprovoked
1318,2007,USA,California,Evening,N,Unprovoked
1319,2007,USA,Florida,Morning,N,Unprovoked
1320,2007,USA,California,Morning,N,Unprovoked
1321,2007,PHILIPPINES,Palawan,Afternoon,Y,
1322,2007,NEW CALEDONIA,Loyalty Islands,,Y,Unprovoked
1323,2007,BAHAMAS,Grand Bahama Island,Afternoon,N,Unprovoked
1324,2007,USA,California,Morning,N,Unprovoked
1325,2007,EGYPT,Red Sea,Morning,N,Unprovoked
1326,2007,USA,Florida,,Unknown,
1327,2007,USA,Florida,,N,Unprovoked
1328,2007,USA,Florida,Evening,N,Unprovoked
1329,2007,SOLOMON ISLANDS,Marovo Lagoon,Evening,N,Unprovoked
1330,2007,USA,Florida,Morning,N,Unprovoked
1331,2007,USA,Florida,,N,Unprovoked
1332,2007,USA,Florida,Afternoon,N,Unprovoked
1333,2007,USA,Florida,Morning,N,Unprovoked
1334,2007,USA,Florida,Afternoon,N,Unprovoked
1335,2007,USA,South Carolina,Evening,N,Unprovoked
1336,2007,USA,Florida,Morning,N,Unprovoked
1337,2007,USA,Florida,Morning,N,Unprovoked
1338,2007,USA,Hawaii,Afternoon,N,Unprovoked
1339,2007,USA,California,Morning,N,Unprovoked
1340,2007,USA,Florida,Afternoon,N,Unprovoked
1341,2007,USA,Florida,Morning,N,Unprovoked
1342,2007,USA,North Carolina,,N,Provoked
1343,2007,USA,Delaware,Evening,N,Provoked
1344,2007,USA,Florida,Evening,N,Unprovoked
1345,2007,USA,Florida,Afternoon,N,Unprovoked
1346,2007,USA,South Carolina,Morning,N,Unprovoked
1347,2007,USA,Florida,Night,N,Unprovoked
1348,2007,USA,Florida,Afternoon,N,Unprovoked
1349,2007,USA,Florida,Evening,N,Unprovoked
1350,2007,USA,South Carolina,Afternoon,N,Unprovoked
1351,2007,USA,South Carolina,Afternoon,N,Unprovoked
1352,2007,USA,Florida,Afternoon,N,Unprovoked
1353,2007,USA,Florida,Afternoon,N,Unprovoked
1354,2007,USA,California,Evening,N,Unprovoked
1355,2007,USA,California,,N,Unprovoked
1356,2007,USA,California,Morning,N,
1357,2007,USA,Hawaii,Afternoon,N,Unprovoked
1358,2007,AUSTRALIA,Territory of Cocos (Keeling) Islands,Morning,N,Unprovoked
1359,2007,USA,North Carolina,Afternoon,N,Unprovoked
1360,2007,NORWAY,Oslo Fjord,,N,Provoked
1361,2007,USA,California,Morning,Unknown,
1362,2007,USA,North Carolina,Afternoon,N,Unprovoked
1363,2007,BAHAMAS,Abaco Islands,Morning,N,Unprovoked
1364,2007,USA,Florida,Afternoon,N,Unprovoked
1365,2007,REUNION,,Afternoon,N,Unprovoked
1366,2007,SENEGAL,,,Unknown,
1367,2007,USA,Florida,,N,Provoked
1368,2007,USA,California,Morning,N,Unprovoked
1369,2007,USA,Florida,Afternoon,N,Unprovoked
1370,2007,USA,Hawaii,Morning,N,Unprovoked
1371,2007,USA,Florida,Afternoon,Unknown,
1372,2007,USA,Florida,Morning,N,Unprovoked
1373,2007,AUSTRALIA,New South Wales,,N,Unprovoked
1374,2007,USA,South Carolina,Afternoon,N,Unprovoked
1375,2007,USA,Virginia,Morning,N,Provoked
1376,2007,ENGLAND,Kent,Afternoon,N,Provoked
1377,2007,AUSTRALIA,Western Australia,Afternoon,N,Unprovoked
1378,2007,AUSTRALIA,Victoria,Afternoon,N,Unprovoked
1379,2007,USA,Florida,Afternoon,N,Unprovoked
1380,2007,SEYCHELLES,Bird Island,,N,Unprovoked
1381,2007,AUSTRALIA,New South Wales,Afternoon,Unknown,
1382,2007,USA,Hawaii,Morning,N,Unprovoked
1383,2007,USA,Florida,Morning,N,Unprovoked
1384,2007,TURKS & CAICOS,Providenciales,,Y,
1385,2007,BAHAMAS,Bimini Islands,,N,Provoked
1386,2007,AUSTRALIA,Queensland,Evening,N,Unprovoked
1387,2007,USA,Florida,Afternoon,N,Unprovoked
1388,2007,USA,Florida,Afternoon,N,Unprovoked
1389,2007,USA,Florida,,N,
1390,2007,NEW CALEDONIA,South Province,Afternoon,N,Unprovoked
1391,2007,USA,Florida,Afternoon,N,Unprovoked
1392,2007,USA,Florida,Afternoon,N,Unprovoked
1393,2007,USA,Florida,Afternoon,N,Unprovoked
1394,2007,YEMEN,Muhafazat Hadramawt,Morning,Y,Unprovoked
1395,2007,USA,Florida,Evening,N,Unprovoked
1396,2007,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1397,2007,USA,Florida,,N,Provoked
1398,2007,AUSTRALIA,Queensland,Afternoon,N,Unprovoked
1399,2007,USA,Florida,Afternoon,N,Unprovoked
1400,2007,NEW ZEALAND,Cook islans,,N,Provoked
1401,2007,COSTA RICA,,,Unknown,
1402,2007,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1403,2007,NEW CALEDONIA,Loyalty Islands,,N,Unprovoked
1404,2007,NEW CALEDONIA,North Province,Afternoon,N,Unprovoked
1405,2007,USA,Florida,Night,N,
1406,2007,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1407,2007,AUSTRALIA,New South Wales,,Unknown,
1408,2007,SOUTH AFRICA,Eastern Cape Province,Afternoon,Y,Unprovoked
1409,2007,AUSTRALIA,New South Wales,Morning,N,Unprovoked
1410,2007,USA,New York,Afternoon,Unknown,
1411,2007,USA,Hawaii,Morning,N,Unprovoked
1412,2006,AUSTRALIA,Victoria,Evening,N,Unprovoked
1413,2006,NEW ZEALAND,North Island,Morning,N,Unprovoked
1414,2006,USA,California,Morning,N,Unprovoked
1415,2006,SOUTH AFRICA,KwaZulu-Natal,,N,Provoked
1416,2006,AUSTRALIA,Western Australia,Morning,N,Unprovoked
1417,2006,PHILIPPINES,Surigao del Norte,Afternoon,Y,
1418,2006,USA,Hawaii,Afternoon,N,Unprovoked
1419,2006,SOUTH AFRICA,Eastern Cape Province,Afternoon,N,Provoked
1420,2006,USA,Oregon,,N,Unprovoked
1421,2006,USA,Florida,,N,Unprovoked
1422,2006,USA,Florida,Morning,N,Unprovoked
1423,2006,USA,Texas,,N,Unprovoked
1424,2006,USA,Florida,Afternoon,N,Unprovoked
1425,2006,BAHAMAS,New Providence Island,,N,Unprovoked
1426,2006,GULF OF ADEN,Between Somalia & Yemen,,Y,Unprovoked
1427,2006,SOUTH AFRICA,Western Cape Province,,Unknown,
1428,2006,USA,Florida,,N,Unprovoked
1429,2006,USA,Florida,,N,Provoked
1430,2006,USA,North Carolina,Morning,N,Unprovoked
1431,2006,USA,Florida,Afternoon,N,Unprovoked
1432,2006,USA,Florida,,N,Unprovoked
1433,2006,AUSTRALIA,Queensland,Morning,Unknown,
1434,2006,BRAZIL,,Afternoon,Y,Unprovoked
1435,2006,USA,Florida,Afternoon,N,Unprovoked
1436,2006,USA,Florida,Afternoon,N,Unprovoked
1437,2006,SOUTH AFRICA,Western Cape Province,,N,Unprovoked
1438,2006,USA,Oregon,,N,Unprovoked
1439,2006,AUSTRALIA,South Australia,Afternoon,N,Unprovoked
1440,2006,REUNION,Saint-Gilles-les-Bains,Evening,N,Unprovoked
1441,2006,BRAZIL,Pernambuco,,Unknown,
1442,2006,BELIZE,Ambergris Caye,,Unknown,
1443,2006,ITALY,,,Y,
1444,2006,REUNION,Saint-Pierre,Morning,Y,Unprovoked
1445,2006,SOUTH AFRICA,Western Cape Province,,N,Unprovoked
1446,2006,SOUTH AFRICA,Western Cape Province,Morning,N,Unprovoked
1447,2006,USA,North Carolina,Afternoon,N,Unprovoked
1448,2006,REUNION,,,N,Unprovoked
1449,2006,USA,Kentucky,,N,Provoked
1450,2006,USA,Oregon,Afternoon,N,Unprovoked
1451,2006,USA,California,Afternoon,N,
1452,2006,USA,Florida,,N,Unprovoked
1453,2006,SOUTH AFRICA,Western Cape Province,Afternoon,N,Unprovoked
1454,2006,USA,Florida,Afternoon,N,Unprovoked
1455,2006,USA,Texas,,N,Unprovoked
1456,2006,AUSTRALIA,Torres Strait,,Unknown,
1457,2006,USA,South Carolina,Morning,N,Unprovoked
1458,2006,SPAIN,Alicante,,Unknown,
1459,2006,USA,South Carolina,Afternoon,N,Unprovoked
1460,2006,BRAZIL,Pernambuco,,Y,Unprovoked
1461,2006,USA,Florida,Afternoon,N,Unprovoked
1462,2006,USA,Florida,Afternoon,N,Unprovoked
1463,2006,USA,South Carolina,Morning,N,Unprovoked
1464,2006,USA,Florida,Afternoon,N,Unprovoked
1465,2006,USA,Florida,,N,Unprovoked
1466,2006,USA,Florida,,N,Unprovoked
1467,2006,USA,Florida,Morning,N,Unprovoked
1468,2006,USA,Florida,Afternoon,N,Provoked
1469,2006,BAHAMAS,Andros Islands,Afternoon,N,Unprovoked
1470,2006,USA,Florida,Afternoon,N,Unprovoked
1471,2006,BRAZIL,Pernambuco,Morning,Y,Unprovoked
1472,2006,USA,California,Morning,N,Unprovoked
1473,2006,USA,Florida,Afternoon,N,Unprovoked
1474,2006,USA,South Carolina,Afternoon,N,Unprovoked
1475,2006,AUSTRALIA,South Australia,Morning,N,Unprovoked
1476,2006,USA,Hawaii,Afternoon,N,Unprovoked
1477,2006,USA,Hawaii,Afternoon,N,Provoked
1478,2006,USA,Hawaii,Afternoon,N,Unprovoked
1479,2006,USA,Hawaii,Afternoon,N,Provoked
1480,2006,BRAZIL,Pernambuco,Morning,N,Unprovoked
1481,2006,USA,Guam,Afternoon,N,Unprovoked
1482,2006,USA,Florida,Afternoon,N,Unprovoked
1483,2006,USA,Florida,Afternoon,N,Unprovoked
1484,2006,AUSTRALIA,Queensland,Afternoon,N,Provoked
1485,2006,USA,Florida,,Unknown,
1486,2006,USA,Florida,,N,Unprovoked
1487,2006,USA,Florida,Afternoon,N,Unprovoked
1488,2006,USA,Florida,Afternoon,N,Provoked
1489,2006,AUSTRALIA,New South Wales,Afternoon,N,Unprovoked
1490,2006,SOUTH AFRICA,Eastern Cape Province,Afternoon,N,Unprovoked
1491,2006,BRAZIL,Pernambuco,Afternoon,N,Unprovoked
1492,2006,USA,Florida,Afternoon,N,Unprovoked
1493,2006,Sierra Leone,Western Area,,Y,Unprovoked
1494,2006,USA,Hawaii,Morning,N,Unprovoked
1495,2006,SOUTH AFRICA,Eastern Cape Province,,Unknown,
1496,2006,FIJI,Vitu Levu,Evening,N,Unprovoked
1497,2006,AUSTRALIA,New South Wales,Afternoon,N,Unprovoked
1498,2006,USA,Hawaii,Afternoon,N,Unprovoked
1499,2006,USA,Hawaii,Afternoon,Unknown,
1500,2006,AUSTRALIA,Queensland,Morning,N,Unprovoked
1501,2006,AUSTRALIA,Queensland,,N,Unprovoked
1502,2006,AUSTRALIA,South Australia,Afternoon,N,
1503,2006,SOUTH AFRICA,Eastern Cape Province,Afternoon,N,Unprovoked
1504,2006,TONGA,Vava'u,Evening,Y,Unprovoked
1505,2006,USA,Hawaii,Afternoon,N,
1506,2006,ATLANTIC OCEAN,300 miles from Antigua,,N,
1507,2006,SOUTH AFRICA,Eastern Cape Province,Afternoon,N,Unprovoked
1508,2006,ATLANTIC OCEAN,800 miles from land,,N,
1509,2006,USA,California,Evening,N,Unprovoked
1510,2006,AUSTRALIA,Western Australia,Morning,N,Unprovoked
1511,2006,BAHAMAS,Grand Bahama Island,Morning,Unknown,
1512,2006,AUSTRALIA,Queensland,Afternoon,Y,Unprovoked
1513,2006,USA,Florida,Afternoon,N,Unprovoked
1514,2006,SOUTH AFRICA,Western Cape Province,,N,Unprovoked
1515,2005,USA,Oregon,Afternoon,N,Unprovoked
1516,2005,USA,Hawaii,Morning,N,Unprovoked
1517,2005,ATLANTIC OCEAN,600 nm west of the Canary Islands,Afternoon,N,
1518,2005,AUSTRALIA,Queensland,Morning,N,Unprovoked
1519,2005,AUSTRALIA,South Australia,Afternoon,N,
1520,2005,USA,Florida,,N,Unprovoked
1521,2005,USA,Florida,Afternoon,N,Unprovoked
1522,2005,AUSTRALIA,Victoria,,N,
1523,2005,AUSTRALIA,Victoria,Evening,N,Unprovoked
1524,2005,SOUTH AFRICA,Eastern Cape Province,Morning,N,Unprovoked
1525,2005,NEW CALEDONIA,Loyalty Islands,Evening,N,Unprovoked
1526,2005,USA,Florida,Afternoon,N,Unprovoked
1527,2005,USA,Florida,Afternoon,N,Unprovoked
1528,2005,NEW CALEDONIA,,,N,
1529,2005,SOUTH AFRICA,Eastern Cape Province,Afternoon,N,Provoked
1530,2005,USA,Florida,Afternoon,N,Unprovoked
1531,2005,USA,California,Afternoon,N,Unprovoked
1532,2005,USA,California,Morning,N,Unprovoked
1533,2005,USA,Florida,,N,Unprovoked
1534,2005,ST. MAARTIN,Simpson Bay,Morning,N,Unprovoked
1535,2005,SOUTH AFRICA,Western Cape Province,Morning,N,Unprovoked
1536,2005,USA,California,Morning,N,Unprovoked
1537,2005,USA,California,Morning,N,Unprovoked
1538,2005,USA,Florida,Afternoon,N,Provoked
1539,2005,USA,Hawaii,Evening,N,Unprovoked
1540,2005,GRAND CAYMAN,East Wall,Afternoon,N,Unprovoked
1541,2005,USA,Florida,Afternoon,N,Unprovoked
1542,2005,BAHAMAS,Abaco Islands,,N,Unprovoked
1543,2005,SOUTH AFRICA,Western Cape Province,Afternoon,N,Unprovoked
1544,2005,AUSTRALIA,New South Wales,,N,Unprovoked
1545,2005,AUSTRALIA,South Australia,Afternoon,N,Unprovoked
1546,2005,AUSTRALIA,Western Australia,Morning,N,Unprovoked
1547,2005,USA,Florida,Morning,Unknown,
1548,2005,USA,South Carolina,Afternoon,N,Unprovoked
1549,2005,USA,South Carolina,Afternoon,Y,Unprovoked
1550,2005,AUSTRALIA,New South Wales,Evening,N,Unprovoked
1551,2005,USA,North Carolina,Afternoon,N,Unprovoked
1552,2005,AUSTRALIA,South Australia,Afternoon,N,Unprovoked
1553,2005,USA,Florida,Morning,N,Unprovoked
1554,2005,THAILAND,,,Y,Provoked
1555,2005,AUSTRALIA,South Australia,Afternoon,Y,Unprovoked
1556,2005,USA,California,Morning,N,Unprovoked
1557,2005,USA,South Carolina,Afternoon,Unknown,
1558,2005,USA,South Carolina,Morning,N,Unprovoked
1559,2005,USA,Texas,Evening,N,Unprovoked
1560,2005,SOUTH AFRICA,Western Cape Province,,Unknown,
1561,2005,USA,North Carolina,Morning,N,Unprovoked
1562,2005,USA,South Carolina,Morning,N,Unprovoked
1563,2005,Seychelles,Inner Islands,,Unknown,
1564,2005,USA,Florida,Evening,N,Unprovoked
1565,2005,USA,Florida,Morning,N,Unprovoked
1566,2005,USA,Florida,Morning,Unknown,
1567,2005,LIBERIA,,,Unknown,
1568,2005,CHINA,Shanghai,,N,Provoked
1569,2005,AUSTRALIA,,,Unknown,
1570,2005,USA,North Carolina,Afternoon,N,Unprovoked
1571,2005,USA,Texas,Afternoon,N,Unprovoked
1572,2005,USA,Florida,Morning,N,Unprovoked
1573,2005,USA,Florida,Morning,N,Unprovoked
1574,2005,USA,Florida,Morning,Y,Unprovoked
1575,2005,VANUATU,Malampa Province,Afternoon,Y,Unprovoked
1576,2005,MEXICO ,Baja California,Morning,N,Unprovoked
1577,2005,USA,Hawaii,Morning,Unknown,
1578,2005,USA,Florida,Afternoon,N,Unprovoked
1579,2005,SOUTH KOREA,South Ch'ungch'ong Province,,N,Unprovoked
1580,2005,USA,South Carolina,,N,Unprovoked
1581,2005,USA,New Jersey,Morning,Unknown,
1582,2005,SOUTH AFRICA,Western Cape Province,Afternoon,Y,Unprovoked
1583,2005,USA,Texas,Morning,N,Unprovoked
1584,2005,USA,Florida,Afternoon,N,Unprovoked
1585,2005,USA,Florida,Evening,N,Unprovoked
1586,2005,SOUTH AFRICA,Eastern Cape Province,Morning,N,Unprovoked
1587,2005,AUSTRALIA,Queensland,,N,Unprovoked
1588,2005,USA,Hawaii,Morning,N,
