,Year,Country,Area,Day Time,Fatal,Type
109,2017,BAHAMAS,New Providence District,,N,Unprovoked
110,2017,BAHAMAS,40 miles off Grand Bahama Island,,N,Unprovoked
111,2017,"ST HELENA, British overseas territory",Ascension Island,Afternoon,N,Unprovoked
112,2017,USA,New Jersey,,N,Unprovoked
113,2017,SPAIN,Majorca,Afternoon,N,Unprovoked
114,2017,USA,Florida,Afternoon,N,Unprovoked
115,2017,USA,South Carolina,,Unknown,
116,2017,USA,California,Morning,N,
117,2017,USA,California,Morning,N,Unprovoked
118,2017,USA,Washington,Evening,N,Unprovoked
119,2017,AUSTRALIA,Western Australia,Morning,N,Unprovoked
120,2017,USA,California,Morning,N,
121,2017,USA,Florida,Afternoon,N,Unprovoked
122,2017,MEXICO,Tabasco,,N,Provoked
123,2017,SOUTH AFRICA,Eastern Cape Province,Afternoon,N,Unprovoked
124,2017,COMOROS,Anjouan,,Unknown,
125,2017,USA,South Carolina,Evening,Unknown,
126,2017,USA,South Carolina,,N,Unprovoked
127,2017,USA,Florida,Morning,N,Unprovoked
128,2017,USA,South Carolina,,N,Unprovoked
129,2017,REUNION,,Morning,N,Unprovoked
130,2017,SPAIN,Ibiza Island,Afternoon,N,Unprovoked
131,2017,FRENCH POLYNESIA,Marquesas,,N,Unprovoked
132,2017,BAHAMAS,,,N,Unprovoked
133,2017,AUSTRALIA,Western Australia,Morning,N,Unprovoked
134,2017,AUSTRALIA,Victoria,Afternoon,N,Unprovoked
135,2017,USA,Florida,Morning,N,Unprovoked
136,2017,UNITED KINGDOM,South Devon,,N,Unprovoked
137,2017,USA,Florida,,N,Unprovoked
138,2017,BAHAMAS,New Providence ,,N,Unprovoked
139,2017,USA,South Carolina,,N,Provoked
140,2017,USA,Florida,Morning,N,Unprovoked
141,2017,AUSTRALIA,New South Wales,,N,
142,2017,UNITED ARAB EMIRATES,"Sharjah, ",Morning,N,Unprovoked
143,2017,AUSTRALIA,Queensland,,N,Provoked
